Hour,Veh_Road_LongHaul_Elec,Veh_Road_RegHaul_Elec,Veh_Road_Drayage_Elec,Veh_Road_LocDelTruck_Elec,Veh_Road_TransitBus_Elec
0,0.0049504950495049506,0.017587939698492462,0.11320754716981132,0.049111584932480454,0.0
1,0.034653465346534656,0.020100502512562814,0.11320754716981132,0.058422174840085286,0.0
2,0.01485148514851485,0.007537688442211055,0.0660377358490566,0.03916133617626155,0.0
3,0.04455445544554455,0.01507537688442211,0.02830188679245283,0.05095948827292111,0.0
4,0.009900990099009901,0.0210373903415382,0.009433962264150943,0.05063965884861407,0.3626373626373626
5,0.009900990099009901,0.07503619793884678,0.024390243902439025,0.05778251599147122,0.32967032967032966
6,0.04950495049504951,0.09385912613917044,0.06879889553612517,0.12889125799573561,0.0989010989010989
7,0.10891089108910891,0.105158561167419,0.2533364012885412,0.09317697228144989,0.02197802197802198
8,0.16831683168316833,0.07597308576782216,0.11642890013805798,0.06211798152096659,0.02197802197802198
9,0.16336633663366337,0.2228657411350538,0.05821445006902899,0.04783226723525231,0.01098901098901099
10,0.0891089108910891,0.047412202254208904,0.024390243902439025,0.02889125799573561,0.0
11,0.07425742574257425,0.04145018879709281,0.012195121951219513,0.012117981520966596,0.0
12,0.019801980198019802,0.030775345654827813,0.0,0.0024875621890547263,0.0
13,0.054455445544554455,0.02763819095477387,0.0,0.024875621890547265,0.0
14,0.04950495049504951,0.020100502512562814,0.0,0.024875621890547265,0.0
15,0.04455445544554455,0.020100502512562814,0.0,0.017412935323383085,0.0
16,0.0297029702970297,0.022613065326633167,0.0,0.017412935323383085,0.0
17,0.019801980198019802,0.022613065326633167,0.07156005522319375,0.01990049751243781,0.0
18,0.0049504950495049506,0.017587939698492462,0.04049700874367235,0.024875621890547265,0.0
19,0.0049504950495049506,0.022613065326633167,0.0,0.0472636815920398,0.02197802197802198
20,0.0,0.01507537688442211,0.0,0.03731343283582089,0.10989010989010989
21,0.0,0.020100502512562814,0.0,0.03482587064676617,0.02197802197802198
22,0.0,0.022613065326633167,0.0,0.03731343283582089,0.0
23,0.0,0.01507537688442211,0.0,0.03233830845771144,0.0
