"Hour","Line Haul - Out of State","Line Haul - In State","Drayage - Northern CA","Drayage - Southern CA","Food Distribution","Beverage Distribution","Local Moving","Urban Buses"
0,0.5,3.5,0,6,7,1,0,0
1,3.5,4,0,6,6,2,0,0
2,1.5,1.5,0,3.5,5,1,0,0
3,4.5,3,0,1.5,4.5,2,0,0
4,1,2.5,0,0.5,3,2.5,1.5,16.5
5,1,6.5,1,0,3,3,7.5,15
6,5,3.5,0.5,3,1.5,8.5,13.5,4.5
7,11,3.5,10,0.5,1.5,6,15.5,1
8,17,5,4,1,1,4,9,1
9,16.5,5,2,0.5,1,3,35,0.5
10,9,5.5,1,0,1.5,1.5,3.5,0
11,7.5,6,0.5,0,1,0.5,2,0
12,2,5,0,0,0.5,0,1,0
13,5.5,5.5,0,0,5,0,0,0
14,5,4,0,0,5,0,0,0
15,4.5,4,0,0,3.5,0,0,0
16,3,4.5,0,0,3.5,0,0,0
17,2,4.5,1.0,2.5,4,0,0,0
18,0.5,3.5,0.5,1.5,5,0,0,0
19,0.5,4.5,0,0,9.5,0,0,1
20,0,3,0,0,7.5,0,0,5
21,0,4,0,0,7,0,0,1
22,0,4.5,0,0,7.5,0,0,0
23,0,3,0,0,6.5,0,0,0
